dataset,X_correlation_max,X_correlation_mean,X_correlation_min,X_covariance_max,X_covariance_mean,X_covariance_min,X_kurtosis_max,X_kurtosis_mean,X_kurtosis_min,X_skewness_max,X_skewness_mean,X_skewness_min,X_stand_dev_max,X_stand_dev_mean,X_stand_dev_min,X_var_coef_max,X_var_coef_mean,X_var_coef_min,X_num_attrs_none,X_num_obs_none,X_ratio_obs_attrs_none,y_norm_class_entropy_none,y_num_classes_none
dataset_adrenal_dahia,0.9996666569069445,0.23443037287335508,-0.8121355685066978,16450755.431229549,86174.61364073656,-8143721.154854025,70.96505652974692,2.4852636295122026,-1.516833018478135,8.54049631407075,0.7349041195416577,-2.4974948492786795,4133.430654259345,562.2350731729272,216.1147255056695,7.012722931600577,0.5961215725090193,0.13560408062136978,2000,76,0.038,0.4575513743696661,2
dataset_bladder_blaveri,0.9970002917149383,0.016637120261430504,-0.8078600734219592,5.606507595894628,0.017961354340364673,-2.719193387583951,28.83886414383968,1.1220354910361943,-1.282845431934578,5.312851331361959,0.2910600581116389,-4.969992240299261,2.605047768026565,0.8930869362594784,0.6066074458693489,271.20251168712775,-0.6461306643215525,-362.46306507669044,2000,40,0.02,0.6305810283860147,2
dataset_bladder_dyrskjot,0.9997686706741253,0.001989609436230776,-0.8442617149994357,7786200.2722948715,9398.641698549603,-1151690.7287435897,34.977662292594644,3.3790395289287827,-1.3321213352619687,6.078806821972378,1.357261814858742,-0.6864047259383157,3139.331842103691,341.31319699236604,85.25985013399797,5.224927453432286,0.6896039656113456,0.18334828090990568,2000,40,0.02,1.0372165874167396,3
dataset_bladder_sanchez-carbayo,0.9989706286948241,0.02428429850056328,-0.7753101246973102,2790515288.2551756,1097129.0657623457,-340268898.81199986,150.67896008094937,11.099997970967705,-0.9435140672660625,12.331563749017642,2.3639377683029816,0.09742580167906884,59700.90875464725,3827.9200787476934,1082.397065216814,10.446889429343475,0.9618275265282039,0.23494643068929622,2000,157,0.0785,1.0112155102084863,3
dataset_breast_desmedt,0.9927408269394926,0.016364832362896067,-0.8410271539250068,11.279021972625173,0.04984892780693818,-5.454203385851594,23.905114396173104,-0.024238322491609416,-1.7094859209338045,3.011142478730447,-0.12050096547665276,-4.104655255684486,3.900791909897857,1.7219192460090267,1.4602744192153438,1.017378652962127,0.335425384578438,0.09968711013241117,2000,198,0.099,0.5480337345358164,2
dataset_breast_glaab,0.9861156365297962,0.017303343962850836,-0.794021929154486,5.542903905188239,0.00959619133270422,-1.5083907137481545,111.85859729313688,2.2521935264364585,-1.6311350025289777,10.418763806566572,0.6713719862987708,-3.886754131827551,2.552187137465278,0.7101398334381779,0.5101857176561972,0.30541060904272405,0.09431894707981522,0.045146974110959165,2000,128,0.064,0.6434915530192904,2
dataset_breast_gruvberger,0.9682552169391738,0.2346040607782465,-0.7302321428085651,3548.004847431201,1.557328261238406,-243.1241185172614,49.66262221276713,4.245232605879642,-1.0265975621804442,7.073077432129127,1.6334735363746185,-0.34389520541667085,74.67849351280236,2.5107544394052312,0.6350406699988441,2.7298847749107713,0.6286402732469973,0.27187547047991717,2000,58,0.029,0.6925525323607232,2
dataset_breast_kreike,0.995975730744741,0.06880922963813935,-0.9136913787344805,1.8638754807130333,0.018131177730594427,-0.7497924333722966,49.16227704213875,1.4598284461566433,-1.2304887077594173,6.987145071021192,0.597135831022961,-6.341771836945334,1.6559320728239824,0.5075553321271539,0.371491514904205,964.6704932521575,0.6443842872436535,-2269.495033804489,2000,59,0.0295,0.6918538909574949,2
dataset_breast_ma_2,0.999357616836495,0.018058899200491196,-0.7735353052601092,7.905580196610168,0.029446058506700658,-3.5984446745762706,46.51857236728215,1.0400500181707828,-1.7185928243040147,6.684728488862268,0.5010269920932954,-2.898479628179378,3.0466534873585305,1.2762219882831343,0.9555111147419899,143.3264321723688,-0.5827322100669862,-779.5396585734468,2000,60,0.03,0.6909233093138181,2
dataset_breast_minn,0.9999184764474244,0.008418536634045279,-0.6882637567569407,458616092.1195566,287119.6395640549,-60002949.49011416,62.99193420145099,9.149138722421023,-1.2612045673555872,8.061018673900284,2.265069228751242,-0.21334206815909312,22425.727392124678,2512.77302834022,824.9751293175675,7.562638662782136,0.831882945501497,0.17442598711280657,2000,68,0.034,0.6295012608763815,2
dataset_breast_perou,0.9847234682033105,0.03487160348912586,-0.8085690147023934,3.9404785078748454,0.040014956826647546,-2.854354064903846,35.35163329873555,2.9492962754255614,-1.1303546320530347,4.352355089249364,-0.4213170653509303,-5.444700270757089,2.32667227008959,1.088129172689386,0.8391098056067422,7017.193148529092,7.248434464115382,-1070.870580863015,2000,65,0.0325,1.2412915217391556,4
dataset_breast_sharma,0.9268289032928476,0.018216390296391383,-0.7010557620478651,0.06225859139345192,0.00014773532094240633,-0.03459196119171251,33.56314830315688,1.7295927122377166,-1.1051091700370532,4.879273050331129,0.10221710952969908,-3.5276340153798755,0.3658106716416734,0.1073958299236291,0.0414144795724147,15199.800082393378,17.44949459691908,-7525.292005924585,1368,60,0.043859649122807015,0.6730116670092565,2
dataset_breast_sotiriou,0.9973095058601371,0.7034307421646195,-0.8038577051287655,6.2824837938105995,1.459821083771424,-5.094132269398684,10.362368712475584,-0.15656246191706963,-1.5735608124484426,3.0459174283726718,-0.6995438189541819,-2.1687916105106275,2.8035895444965058,1.4561730649103732,1.312397016207922,0.42966093435147135,0.2061289115399244,0.11153108619748893,2000,167,0.0835,1.0917094348934997,3
dataset_breast_veer,0.9959357730808327,0.01681911739303083,-0.8215629450520889,0.55750951020189,0.004235986025491156,-0.32008644501955885,26.919668754004665,7.338690030864727,-1.2715149393857461,4.386672232120883,0.11682865169066727,-3.703342465298738,0.9861453842812338,0.47266823231558486,0.36160832840996315,27842.368075635964,10.003850535222103,-16244.952569732664,2000,97,0.0485,0.6918180763648366,2
dataset_breast_wang,0.9967869923083428,0.012369187584508815,-0.6668028880910476,557934699.1681277,492453.28907359496,-101895336.91213077,279.030686294584,13.255221297647845,-0.6378573080609624,16.73581430955677,2.281588225548249,-0.04849354821416089,25963.80846694216,2866.1977520632763,965.8081800976785,11.741293957232962,0.7401715236870039,0.17987095424218658,2000,286,0.143,0.6611150816837719,2
dataset_breast_west,0.9955884047337004,0.004619479998306358,-0.9962934844227197,8144729726.387329,95131.83208088981,-2651012362.7895403,43.493379837968966,8.98448608117007,-1.2404439746912814,6.726148145447136,0.9045184870589301,-6.669773253147606,96223.82079795773,2088.487114159517,549.2829300505323,1997.3506254119063,1.1097091892452056,-990.5397252248868,2000,49,0.0245,0.6929389195380611,2
dataset_cns_pomeroy_2,0.9908735312510263,0.13177030462582123,-0.9809517588718303,603390489.6161017,151936.71835162822,-271186572.9838984,54.40030296436936,5.729133961512566,-1.097160775674341,7.4870512627211125,1.26929248311456,-7.3174749745422805,35115.36768339228,1302.2836466888646,426.6655138799751,192.50780811580964,0.8354991047551078,-203.252228445457,2000,60,0.03,0.6474466390346325,2
